,NO,SMILES structure,logD,smi
0,A-logD7.4-808,O1C(=Nc2c(cccc2C)C1=O)C(C)(C)C,4.0,O 1 C ( = N c 2 c ( c c c c 2 C ) C 1 = O ) C ( C ) ( C ) C
1,O-43,OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,-3.1,O C [C@@H] ( O ) [C@@H] ( O ) [C@H] ( O ) [C@H] ( O ) C O
2,G-logD7.4-60,Clc1cc(N2CCN(CC2)CCCN2N=C(N(CCOc3ccccc3)C2=O)CC)ccc1,4.83,Cl c 1 c c ( N 2 C C N ( C C 2 ) C C C N 2 N = C ( N ( C C O c 3 c c c c c 3 ) C 2 = O ) C C ) c c c 1
3,A-logD7.4-771,Ic1cc(cc(I)c1OCCCN(C)C)C(=O)c1c2c(oc1CCCC)cccc2,5.77,I c 1 c c ( c c ( I ) c 1 O C C C N ( C ) C ) C ( = O ) c 1 c 2 c ( o c 1 C C C C ) c c c c 2
4,A-logD7.4-471,Clc1cc2nccc(-n3c4c(cc(OC)cc4)c(CC(O)=O)c3C)c2cc1,1.7,Cl c 1 c c 2 n c c c ( - n 3 c 4 c ( c c ( O C ) c c 4 ) c ( C C ( O ) = O ) c 3 C ) c 2 c c 1
5,A-logD7.4-603,n1nc(Nn2c(ccc2C)C)ccc1N1CCCC1,2.45,n 1 n c ( N n 2 c ( c c c 2 C ) C ) c c c 1 N 1 C C C C 1
6,A-logD7.4-145,Fc1cc(F)ccc1N1C=C(C(O)=O)C(=O)c2cc(F)c(N3CCNCC3)cc12,-0.48,F c 1 c c ( F ) c c c 1 N 1 C = C ( C ( O ) = O ) C ( = O ) c 2 c c ( F ) c ( N 3 C C N C C 3 ) c c 12
7,B-logD7.4-200,Clc1cc2NC(NS(=O)(=O)c2cc1S(=O)(=O)N)C(Cl)Cl,0.43,Cl c 1 c c 2 N C ( N S ( = O ) ( = O ) c 2 c c 1 S ( = O ) ( = O ) N ) C ( Cl ) Cl
8,E-logD7.4-10,Fc1cc(N\C(=N/O)\c2ccc(OC)cc2)ccc1,3.09,F c 1 c c ( N \ C ( = N / O ) \ c 2 c c c ( O C ) c c 2 ) c c c 1
9,A-logD7.4-323,OC(=O)c1cc2n(CC(=O)N(C)C)c(c(c2nc1)C1CCCCC1)-c1ccccc1,0.8,O C ( = O ) c 1 c c 2 n ( C C ( = O ) N ( C ) C ) c ( c ( c 2 n c 1 ) C 1 C C C C C 1 ) - c 1 c c c c c 1
10,A-logD7.4-271,O=C1N(c2nc(nc(c2CC1)C)C)Cc1ccc(cc1)-c1ccccc1-c1nn[nH]n1,0.49,O = C 1 N ( c 2 n c ( n c ( c 2 C C 1 ) C ) C ) C c 1 c c c ( c c 1 ) - c 1 c c c c c 1- c 1 n n [nH] n 1
11,A-logD7.4-400,Clc1cc2NC3=C(C(=O)c2cc1)C(=O)N(NC3=O)C(C)c1ccc(cc1)C(OC)=O,1.3,Cl c 1 c c 2 N C 3 = C ( C ( = O ) c 2 c c 1 ) C ( = O ) N ( N C 3 = O ) C ( C ) c 1 c c c ( c c 1 ) C ( O C ) = O
12,O-73,Clc1cc(NCc2occc2)c(cc1S(=O)(=O)N)C(O)=O,-0.9,Cl c 1 c c ( N C c 2 o c c c 2 ) c ( c c 1 S ( = O ) ( = O ) N ) C ( O ) = O
13,B-logD7.4-58,O1CC[N+]([O-])(CC1)CCCNC(=O)[C@H](C(C)C)C[C@H](O)[C@@H](NC(=O)[C@@H](N[C@@H](Cc1ccccc1)C(=O)N1CCC(OCOC)CC1)CCCC)CC1CCCCC1,3.6,O 1 C C [N+] ( [O-] ) ( C C 1 ) C C C N C ( = O ) [C@H] ( C ( C ) C ) C [C@H] ( O ) [C@@H] ( N C ( = O ) [C@@H] ( N [C@@H] ( C c 1 c c c c c 1 ) C ( = O ) N 1 C C C ( O C O C ) C C 1 ) C C C C ) C C 1 C C C C C 1
14,A-logD7.4-126,OC=1C(=O)C=CN(CCC(=O)N(CC)C)C=1C,-0.67,O C = 1 C ( = O ) C = C N ( C C C ( = O ) N ( C C ) C ) C = 1 C
15,A-logD7.4-61,OC=1C(=O)C=CN(CCCC(O)=O)C=1CC,-1.38,O C = 1 C ( = O ) C = C N ( C C C C ( O ) = O ) C = 1 C C
16,A-logD7.4-208,o1c2CCN(CCc2nc1N)CC,0.05,o 1 c 2 C C N ( C C c 2 n c 1 N ) C C
