,NO,SMILES structure,logD,smi
0,A-logD7.4-65,O=C(N([C@@H](CC(C)C)C(=O)N)C)CNC(=O)[C@@H](N(C(=O)[C@@H](NC(=O)C)CCCCN)C)Cc1ccccc1,-1.33,O = C ( N ( [C@@H] ( C C ( C ) C ) C ( = O ) N ) C ) C N C ( = O ) [C@@H] ( N ( C ( = O ) [C@@H] ( N C ( = O ) C ) C C C C N ) C ) C c 1 c c c c c 1
1,E-logD7.4-94,o1cc(nc1-c1ccc(OCCCCC)cc1)CN[C@@H]1C[C@@H]2C[C@H]([C@H]1C)C2(C)C,6.5,o 1 c c ( n c 1- c 1 c c c ( O C C C C C ) c c 1 ) C N [C@@H] 1 C [C@@H] 2 C [C@H] ( [C@H] 1 C ) C 2 ( C ) C
2,A-logD7.4-144,S(Cc1oc(cc1)CN(C)C)CCNC(NC)=C[N+](=O)[O-],-0.39,S ( C c 1 o c ( c c 1 ) C N ( C ) C ) C C N C ( N C ) = C [N+] ( = O ) [O-]
3,O-20,S1[C@H]2N([C@H](C(O)=O)C1C)C(=O)[C@H]2NC(=O)COc1ccccc1,-0.62,S 1 [C@H] 2 N ( [C@H] ( C ( O ) = O ) C 1 C ) C ( = O ) [C@H] 2 N C ( = O ) C O c 1 c c c c c 1
4,B-logD7.4-276,s1c2c(nc1O)c(O)ccc2CCNCCS(=O)(=O)CCCOCCc1ccc(F)cc1,2.67,s 1 c 2 c ( n c 1 O ) c ( O ) c c c 2 C C N C C S ( = O ) ( = O ) C C C O C C c 1 c c c ( F ) c c 1
5,B-logD7.4-168,O(CC(N)C)c1c(cccc1C)C,0.47,O ( C C ( N ) C ) c 1 c ( c c c c 1 C ) C
6,O-303,O(C[C@H](O)CNC(C)C)c1ccccc1CC=C,0.86,O ( C [C@H] ( O ) C N C ( C ) C ) c 1 c c c c c 1 C C = C
7,O-240,s1c2c(nc1-c1ccn(c1)CC(O)=O)cccc2,-0.35,s 1 c 2 c ( n c 1- c 1 c c n ( c 1 ) C C ( O ) = O ) c c c c 2
8,A-logD7.4-66,O1c2c(ccc(O[C@@H]3O[C@H](C(O)=O)[C@@H](O)[C@H](O)[C@H]3O)c2)C(=CC1=O)C,-1.32,O 1 c 2 c ( c c c ( O [C@@H] 3 O [C@H] ( C ( O ) = O ) [C@@H] ( O ) [C@H] ( O ) [C@H] 3 O ) c 2 ) C ( = C C 1 = O ) C
9,B-logD7.4-160,S1c2c(N(c3c1cccc3)C[C@@H](CN(C)C)C)cc(OC)cc2,2.77,S 1 c 2 c ( N ( c 3 c 1 c c c c 3 ) C [C@@H] ( C N ( C ) C ) C ) c c ( O C ) c c 2
10,B-logD7.4-177,O=C1Nc2cccnc2N(c2c1cccc2)C(=O)CN1CCN(CC1)C,-0.61,O = C 1 N c 2 c c c n c 2 N ( c 2 c 1 c c c c 2 ) C ( = O ) C N 1 C C N ( C C 1 ) C
11,I-logDoct-PBS-7,OC(=O)c1ccc(cc1)Cn1nccc1,-1.65,O C ( = O ) c 1 c c c ( c c 1 ) C n 1 n c c c 1
12,A-logD7.4-308,O=Cc1[nH]c2c(c1)C(N(CC2C)C)C,0.69,O = C c 1 [nH] c 2 c ( c 1 ) C ( N ( C C 2 C ) C ) C
13,A-logD7.4-612,O(CCC)c1ncc(cc1-c1nc(O)c2nn(c(c2n1)CC)C1CN(C1)C(C)C)C(=O)C,2.5,O ( C C C ) c 1 n c c ( c c 1- c 1 n c ( O ) c 2 n n ( c ( c 2 n 1 ) C C ) C 1 C N ( C 1 ) C ( C ) C ) C ( = O ) C
14,B-logD7.4-15,s1cc(S(=O)(=O)c2cc(CN(CC)CC)c(O)cc2)cc1S(=O)(=O)N,0.81,s 1 c c ( S ( = O ) ( = O ) c 2 c c ( C N ( C C ) C C ) c ( O ) c c 2 ) c c 1 S ( = O ) ( = O ) N
15,E-logD7.4-85,o1cc(nc1-c1ccc(OCC)cc1)CNC1C[C@@H]2C[C@H]([C@H]1C)C2(C)C,5.22,o 1 c c ( n c 1- c 1 c c c ( O C C ) c c 1 ) C N C 1 C [C@@H] 2 C [C@H] ( [C@H] 1 C ) C 2 ( C ) C
16,B-logD7.4-335,n1-2c(ccc1)C(=Nc1c-2cccc1)NCCCN1CCN(CC1)CCCNC1=Nc2c(-n3c1ccc3)cccc2,2.52,n 1-2 c ( c c c 1 ) C ( = N c 1 c -2 c c c c 1 ) N C C C N 1 C C N ( C C 1 ) C C C N C 1 = N c 2 c ( - n 3 c 1 c c c 3 ) c c c c 2
17,A-logD7.4-758,s1c2c([nH]c(c2C2CCCCC2)-c2ccccc2)cc1C(O)=O,3.4,s 1 c 2 c ( [nH] c ( c 2 C 2 C C C C C 2 ) - c 2 c c c c c 2 ) c c 1 C ( O ) = O
18,B-logD7.4-307,s1c2c(nc1O)c(O)ccc2CCNCCCS(=O)(=O)CCOCc1ccccc1,1.15,s 1 c 2 c ( n c 1 O ) c ( O ) c c c 2 C C N C C C S ( = O ) ( = O ) C C O C c 1 c c c c c 1
19,B-logD7.4-195,S(=O)(=O)(C)c1cc(C(=O)NCCN(CC)CC)c(OC)cc1,-0.09,S ( = O ) ( = O ) ( C ) c 1 c c ( C ( = O ) N C C N ( C C ) C C ) c ( O C ) c c 1
20,A-logD7.4-835,O(C)c1cc2N=C(c3n(-c2cc1)ccc3)CCCCC,4.38,O ( C ) c 1 c c 2 N = C ( c 3 n ( - c 2 c c 1 ) c c c 3 ) C C C C C
21,A-logD7.4-431,Clc1sc(cc1)\C=C\S(=O)(=O)N[C@H]1CCN([C@H](C(=O)N2CCOCC2)C)C1=O,1.47,Cl c 1 s c ( c c 1 ) \ C = C \ S ( = O ) ( = O ) N [C@H] 1 C C N ( [C@H] ( C ( = O ) N 2 C C O C C 2 ) C ) C 1 = O
22,A-logD7.4-304,Fc1ncc(cc1-c1ccc(nc1)C#N)[C@@H]1[C@@H]2N([C@@H](C1)CC2)C,0.64,F c 1 n c c ( c c 1- c 1 c c c ( n c 1 ) C # N ) [C@@H] 1 [C@@H] 2 N ( [C@@H] ( C 1 ) C C 2 ) C
23,B-logD7.4-304,s1c2c(nc1O)c(O)ccc2CCNCCCS(=O)(=O)NCCOCCc1ccccc1,1.46,s 1 c 2 c ( n c 1 O ) c ( O ) c c c 2 C C N C C C S ( = O ) ( = O ) N C C O C C c 1 c c c c c 1
24,A-logD7.4-629,o1nc(nc1[C@H](CCCC1CCCCC1)CC(=O)NO)CNC(CO)(C)C,2.6,o 1 n c ( n c 1 [C@H] ( C C C C 1 C C C C C 1 ) C C ( = O ) N O ) C N C ( C O ) ( C ) C
25,E-logD7.4-27,Fc1ccccc1Oc1ncccc1/C(=N\O)/NC1CCCCC1,3.99,F c 1 c c c c c 1 O c 1 n c c c c 1/ C ( = N \ O ) / N C 1 C C C C C 1
26,A-logD7.4-146,OC=1C(=O)C=CN(CCC(=O)NC(C)C)C=1C,-0.47,O C = 1 C ( = O ) C = C N ( C C C ( = O ) N C ( C ) C ) C = 1 C
27,B-logD7.4-357,Fc1c(NC(=O)Cc2[nH]nc(Nc3ncnc4c3ccc(OCCCN3CCC[C@@H]3CO)c4)c2)cccc1F,2.1,F c 1 c ( N C ( = O ) C c 2 [nH] n c ( N c 3 n c n c 4 c 3 c c c ( O C C C N 3 C C C [C@@H] 3 C O ) c 4 ) c 2 ) c c c c 1 F
28,I-logDoct-PBS-3,OC(=O)c1ccc(cc1)Cn1ccnc1,-2.1,O C ( = O ) c 1 c c c ( c c 1 ) C n 1 c c n c 1
29,E-logD7.4-26,Fc1ccc(N\C(=N\O)\c2ccccc2-c2ccccc2)cc1,3.98,F c 1 c c c ( N \ C ( = N \ O ) \ c 2 c c c c c 2- c 2 c c c c c 2 ) c c 1
30,B-logD7.4-122,O=C1N=CN=C2NNC=C12,-0.44,O = C 1 N = C N = C 2 N N C = C 12
31,A-logD7.4-772,S(Cc1ccccc1)C=1OC(=O)c2c(N=1)cccc2,3.6,S ( C c 1 c c c c c 1 ) C = 1 O C ( = O ) c 2 c ( N = 1 ) c c c c 2
32,A-logD7.4-655,n1nc(Nn2c(ccc2C)C)ccc1N(CC)CC,2.73,n 1 n c ( N n 2 c ( c c c 2 C ) C ) c c c 1 N ( C C ) C C
33,A-logD7.4-47,OC=1C(=O)C=CN(C(CO)CO)C=1C,-1.7,O C = 1 C ( = O ) C = C N ( C ( C O ) C O ) C = 1 C
34,A-logD7.4-238,Oc1cc2n(ncc2cc1)CCN,0.254,O c 1 c c 2 n ( n c c 2 c c 1 ) C C N
35,A-logD7.4-691,O=C(N(C)c1ccccc1)Nc1cc2[nH]cc(c2cc1)-c1ccncc1,2.93,O = C ( N ( C ) c 1 c c c c c 1 ) N c 1 c c 2 [nH] c c ( c 2 c c 1 ) - c 1 c c n c c 1
36,O-109,S(C)c1cc2c(N=CN(\C=C\C(O)=O)C2=O)cc1,-1.05,S ( C ) c 1 c c 2 c ( N = C N ( \ C = C \ C ( O ) = O ) C 2 = O ) c c 1
37,A-logD7.4-790,Fc1cc(N(Cc2cc(OC)ccc2OCF)C(=O)C)c(Oc2ccccc2)cc1,3.7,F c 1 c c ( N ( C c 2 c c ( O C ) c c c 2 O C F ) C ( = O ) C ) c ( O c 2 c c c c c 2 ) c c 1
38,O-17,Clc1ccc(OC(C(OCC)=O)(C)C)cc1,3.39,Cl c 1 c c c ( O C ( C ( O C C ) = O ) ( C ) C ) c c 1
39,B-logD7.4-221,O(c1cc(ccc1)CN1CCC2(N(CNC2=O)c2ccccc2)CC1)c1ccccc1,2.9,O ( c 1 c c ( c c c 1 ) C N 1 C C C 2 ( N ( C N C 2 = O ) c 2 c c c c c 2 ) C C 1 ) c 1 c c c c c 1
40,A-logD7.4-687,Clc1ccc2OCOc2c1Nc1ncnc2c1c(OC1CCN(CC1)C)cc(OC)c2,2.9,Cl c 1 c c c 2 O C O c 2 c 1 N c 1 n c n c 2 c 1 c ( O C 1 C C N ( C C 1 ) C ) c c ( O C ) c 2
41,C-logD7.4-41,Fc1ccc(cc1)-c1oc(nc1COCC(F)(F)F)C1CCN(CC1)CCc1ccc(cc1)C(N)=N,3.76,F c 1 c c c ( c c 1 ) - c 1 o c ( n c 1 C O C C ( F ) ( F ) F ) C 1 C C N ( C C 1 ) C C c 1 c c c ( c c 1 ) C ( N ) = N
42,O-194,n1ccn(c1)C,-0.06,n 1 c c n ( c 1 ) C
43,O-316,Clc1cc(ccc1)C(=O)[C@@H](NC(C)(C)C)C,2.61,Cl c 1 c c ( c c c 1 ) C ( = O ) [C@@H] ( N C ( C ) ( C ) C ) C
44,O-180,S(Cc1nc[nH]c1C)CC\N=C(\NC#N)/NC,0.33,S ( C c 1 n c [nH] c 1 C ) C C \ N = C ( \ N C # N ) / N C
45,A-logD7.4-371,Brc1cc(Cn2nc(cc2C)C(O)=O)c(OCc2ccccc2)cc1,1.15,Br c 1 c c ( C n 2 n c ( c c 2 C ) C ( O ) = O ) c ( O C c 2 c c c c c 2 ) c c 1
46,A-logD7.4-630,Brc1cc(F)c(Nc2ncnc3c2cc(OC)c(OCC2CCN(CC2)C)c3)cc1,2.6,Br c 1 c c ( F ) c ( N c 2 n c n c 3 c 2 c c ( O C ) c ( O C C 2 C C N ( C C 2 ) C ) c 3 ) c c 1
47,E-logD7.4-12,o1c(nc(CNCCC2N(CCC2)C)c1C)-c1cc(ccc1)C,3.3,o 1 c ( n c ( C N C C C 2 N ( C C C 2 ) C ) c 1 C ) - c 1 c c ( c c c 1 ) C
48,E-logD7.4-87,o1cc(nc1-c1ccc(cc1)C(C)(C)C)CNC1CCCCCC1,5.41,o 1 c c ( n c 1- c 1 c c c ( c c 1 ) C ( C ) ( C ) C ) C N C 1 C C C C C C 1
49,C-logD7.4-5,s1c(ccc1CNc1cccnc1)-c1cc2c(cc1OC1CCNCC1)cncc2,1.9,s 1 c ( c c c 1 C N c 1 c c c n c 1 ) - c 1 c c 2 c ( c c 1 O C 1 C C N C C 1 ) c n c c 2
