,NO,SMILES structure,logD,smi
0,O-381,O(C(=O)c1ccccc1)[C@H]1C[C@H]2N([C@H](CC2)[C@H]1C(OC)=O)C,1.07,O ( C ( = O ) c 1 c c c c c 1 ) [C@H] 1 C [C@H] 2 N ( [C@H] ( C C 2 ) [C@H] 1 C ( O C ) = O ) C
1,A-logD7.4-578,Brc1cc(Cl)c(NC=2NCCN=2)c(Cl)c1,2.31,Br c 1 c c ( Cl ) c ( N C = 2 N C C N = 2 ) c ( Cl ) c 1
2,O-130,Clc1cc(N2CCN(CC2)CCCN2N=C3N(C=CC=C3)C2=O)ccc1,2.54,Cl c 1 c c ( N 2 C C N ( C C 2 ) C C C N 2 N = C 3 N ( C = C C = C 3 ) C 2 = O ) c c c 1
3,B-logD7.4-97,N(C(Nc1ccc(cc1)C(C)C)=N)c1ccc(cc1)C(C)C,2.72,N ( C ( N c 1 c c c ( c c 1 ) C ( C ) C ) = N ) c 1 c c c ( c c 1 ) C ( C ) C
4,O-225,OC(=O)Cn1cc(cc1)C(=O)c1cc2c(cc1)cccc2,-0.23,O C ( = O ) C n 1 c c ( c c 1 ) C ( = O ) c 1 c c 2 c ( c c 1 ) c c c c 2
5,B-logD7.4-271,s1c2c(nc1O)c(O)ccc2CCNCCNC(=O)CCCOCCc1ccccc1,1.55,s 1 c 2 c ( n c 1 O ) c ( O ) c c c 2 C C N C C N C ( = O ) C C C O C C c 1 c c c c c 1
6,A-logD7.4-395,FC(F)(F)c1c2nccc(c2ccc1)-c1c2cc(ccc2n(CC(O)=O)c1C)C,1.3,F C ( F ) ( F ) c 1 c 2 n c c c ( c 2 c c c 1 ) - c 1 c 2 c c ( c c c 2 n ( C C ( O ) = O ) c 1 C ) C
7,B-logD7.4-340,O(C)c1cc2N=C(NCCCN3CCN(CC3)CCCNC3=Nc4cc(OC)ccc4-n4c3ccc4)c3n(-c2cc1)ccc3,3.72,O ( C ) c 1 c c 2 N = C ( N C C C N 3 C C N ( C C 3 ) C C C N C 3 = N c 4 c c ( O C ) c c c 4- n 4 c 3 c c c 4 ) c 3 n ( - c 2 c c 1 ) c c c 3
8,A-logD7.4-434,Clc1ccc(cc1)\C=C\S(=O)(=O)N[C@H]1CCN([C@H](C(=O)N2CCOCC2)C)C1=O,1.49,Cl c 1 c c c ( c c 1 ) \ C = C \ S ( = O ) ( = O ) N [C@H] 1 C C N ( [C@H] ( C ( = O ) N 2 C C O C C 2 ) C ) C 1 = O
9,B-logD7.4-310,s1c2c(nc1O)c(O)ccc2CCNCCCS(=O)(=O)CCOCCc1cc(SC)ccc1,1.63,s 1 c 2 c ( n c 1 O ) c ( O ) c c c 2 C C N C C C S ( = O ) ( = O ) C C O C C c 1 c c ( S C ) c c c 1
10,B-logD7.4-233,Clc1cc2OCOc2cc1COC(=O)NCCn1c2c(nc1O)cccc2,3.2,Cl c 1 c c 2 O C O c 2 c c 1 C O C ( = O ) N C C n 1 c 2 c ( n c 1 O ) c c c c 2
11,A-logD7.4-543,FC(F)(F)c1cc(cc(c1)C(F)(F)F)COCC(N1CCN(CC1)CCOCC(O)=O)c1ccccc1,2.17,F C ( F ) ( F ) c 1 c c ( c c ( c 1 ) C ( F ) ( F ) F ) C O C C ( N 1 C C N ( C C 1 ) C C O C C ( O ) = O ) c 1 c c c c c 1
12,B-logD7.4-53,O(COC)C1CCN(CC1)C(=O)[C@@H](O[C@@H](CCCC)C(=O)N[C@H]([C@@H](O)C[C@@H](C(C)C)C(=O)NCCC(O)=O)CC1CCCCC1)Cc1ccccc1,2.8,O ( C O C ) C 1 C C N ( C C 1 ) C ( = O ) [C@@H] ( O [C@@H] ( C C C C ) C ( = O ) N [C@H] ( [C@@H] ( O ) C [C@@H] ( C ( C ) C ) C ( = O ) N C C C ( O ) = O ) C C 1 C C C C C 1 ) C c 1 c c c c c 1
13,O-56,O=C1C[C@@H](O)[C@@H](\C=C/[C@H](O)CCCCC)[C@@H]1C\C=C/CCCC(O)=O,0.41,O = C 1 C [C@@H] ( O ) [C@@H] ( \ C = C / [C@H] ( O ) C C C C C ) [C@@H] 1 C \ C = C / C C C C ( O ) = O
