,Compound ID,InChIKey,SMILES,logS,logP,MW,smi
0,C543,NHDODQWIKUYWMW-UHFFFAOYSA-N,Clc1ccc(cc1)Br,-3.6300001,3.1025,191.453,Cl c 1 c c c ( c c 1 ) Br
1,C3082,NNRDTDHBXOGJDV-KTKRTIGZSA-N,OC1C=CC2=C(Cc3c1cccc3)CCC=C2,-5.0084123819999995,3.4789,224.298,O C 1 C = C C 2 = C ( C c 3 c 1 c c c c 3 ) C C C = C 2
2,C6362,PAMQYEWNNPDBLM-UHFFFAOYSA-N,CCCCOC(=O)c1ccco1,-2.498101451,2.2365,168.19,C C C C O C ( = O ) c 1 c c c o 1
3,C5863,MFUHTALWGBAVOL-UHFFFAOYSA-N,CC(=O)OC(COC(=O)C)COc1ccccc1,-2.803068231,1.5602,252.263,C C ( = O ) O C ( C O C ( = O ) C ) C O c 1 c c c c c 1
4,C3587,FFNDMZIBVDSQFI-UHFFFAOYSA-N,Oc1cc(O)c2c(c1)[o+]c(c(c2)O)c1cc(O)c(c(c1)O)O.[Cl-],-4.4557253910000005,-0.3815,338.69699999999995,O c 1 c c ( O ) c 2 c ( c 1 ) [o+] c ( c ( c 2 ) O ) c 1 c c ( O ) c ( c ( c 1 ) O ) O . [Cl-]
5,C2780,PJWPNDMDCLXCOM-UHFFFAOYSA-N,COc1ccc(cc1)C(=O)Nc1ccccc1CCC1CCCCN1C,-5.391492382000001,4.3753,352.47,C O c 1 c c c ( c c 1 ) C ( = O ) N c 1 c c c c c 1 C C C 1 C C C C N 1 C
6,C3645,JZWOKDTXYPEJEW-UHFFFAOYSA-N,Clc1ccc2c(c1)C(=NCCN2)c1ccccc1,-4.392448356,3.1765,256.73,Cl c 1 c c c 2 c ( c 1 ) C ( = N C C N 2 ) c 1 c c c c c 1
7,C5710,XLDRMDBMIIRYOJ-UHFFFAOYSA-N,O=c1ccc2c(c1)[nH]c1c(c2N)cccc1,-2.906066557,2.8447,210.231,O = c 1 c c c 2 c ( c 1 ) [nH] c 1 c ( c 2 N ) c c c c 1
8,C6283,WMCUHRDQSHQNRW-UHFFFAOYSA-N,FCCCCBr,-2.5443482790000003,2.131,155.009,F C C C C Br
9,C597,XJCLWVXTCRQIDI-UHFFFAOYSA-N,CCN(C(=S)SCC(=C)Cl)CC,-3.3900001000000004,3.0988,223.78599999999997,C C N ( C ( = S ) S C C ( = C ) Cl ) C C
10,C9438,DEGNVZJJUSWXDF-UHFFFAOYSA-N,CC(NCCSS(=O)(=O)O)(C)C,0.364715733,2.3822,213.31799999999998,C C ( N C C S S ( = O ) ( = O ) O ) ( C ) C
11,C4290,STJGROCZENGPFG-UHFFFAOYSA-N,ClCC[NH+](CCOc1ccccc1OC)CCOc1ccccc1OC.[Cl-],-3.885447798,-0.7107,416.339,Cl C C [NH+] ( C C O c 1 c c c c c 1 O C ) C C O c 1 c c c c c 1 O C . [Cl-]
12,C3162,KYGZCKSPAKDVKC-UHFFFAOYSA-N,CCn1cc(C(=O)O)c(=O)c2c1cc1OCOc1c2,-4.91187806,1.4483,261.23,C C n 1 c c ( C ( = O ) O ) c ( = O ) c 2 c 1 c c 1 O C O c 1 c 2
13,C9573,IDCBOTIENDVCBQ-UHFFFAOYSA-N,CCOP(=O)(OP(=O)(OCC)OCC)OCC,0.537319054,3.3652,290.188,C C O P ( = O ) ( O P ( = O ) ( O C C ) O C C ) O C C
14,C1190,YRMLFORXOOIJDR-UHFFFAOYSA-N,C=CCN(C(=O)C(Cl)Cl)CC=C,-1.62,1.9907,208.085,C = C C N ( C ( = O ) C ( Cl ) Cl ) C C = C
15,C6894,NJBFOOCLYDNZJN-UHFFFAOYSA-N,BrCCC(=O)N1CCN(CC1)C(=O)CCBr,-2.154798482,1.103,356.05400000000014,Br C C C ( = O ) N 1 C C N ( C C 1 ) C ( = O ) C C Br
16,C2766,RZELHTMTJHHEPE-UHFFFAOYSA-N,OC(=O)C(=O)[O-].Fc1ccc2c(c1)c1ccccc1n2CC[NH+]1CCCC1,-5.41566897,2.0024,372.39,O C ( = O ) C ( = O ) [O-] . F c 1 c c c 2 c ( c 1 ) c 1 c c c c c 1 n 2 C C [NH+] 1 C C C C 1
17,C9898,NHOWLEZFTHYCTP-UHFFFAOYSA-N,NNCc1ccccc1,0.9130318709999999,1.7411,122.16799999999999,N N C c 1 c c c c c 1
18,C5460,VLAPOICCOPIXJJ-UHFFFAOYSA-N,CC(NC(Cc1cc(OC(=O)C)cc(c1)OC(=O)C)OC(=O)C)C,-3.06421606,2.3578,337.36800000000005,C C ( N C ( C c 1 c c ( O C ( = O ) C ) c c ( c 1 ) O C ( = O ) C ) O C ( = O ) C ) C
19,C76,HLQDGCWIOSOMDP-UHFFFAOYSA-N,Clc1cc(c2ccccc2)c(c(c1Cl)Cl)Cl,-7.1599998,5.9672,291.988,Cl c 1 c c ( c 2 c c c c c 2 ) c ( c ( c 1 Cl ) Cl ) Cl
20,C3024,VYGQXRZAHIZHQV-UHFFFAOYSA-N,Fc1ccc(cc1)C(=O)CCCN1CCC(CC1)(O)c1cccc(c1)C(F)(F)F.Cl,-5.071729115,5.5309,445.87800000000004,F c 1 c c c ( c c 1 ) C ( = O ) C C C N 1 C C C ( C C 1 ) ( O ) c 1 c c c c ( c 1 ) C ( F ) ( F ) F . Cl
21,C2822,MQJPEILRVHPFGH-UHFFFAOYSA-N,CN(CCOc1c(C(=O)OCc2ccccc2)c(C)ccc1C(C)C)C,-5.325503446,4.4158,355.471,C N ( C C O c 1 c ( C ( = O ) O C c 2 c c c c c 2 ) c ( C ) c c c 1 C ( C ) C ) C
22,C1397,QNVRIHYSUZMSGM-ZCFIWIBFSA-N,CCCC[C@H](O)C,-0.88999999,1.5574,102.175,C C C C [C@H] ( O ) C
23,C939,IMIDOCRTMDIQIJ-UHFFFAOYSA-N,CNC(=O)Oc1ccc(c(c1)C)N(C)C,-2.3599999,2.1701,208.257,C N C ( = O ) O c 1 c c c ( c ( c 1 ) C ) N ( C ) C
24,C5054,MAODNVTZUXOBNL-UHFFFAOYSA-N,CCN(C(C(=O)Nc1c(C)cccc1C)C)CC,-3.3435607469999997,3.0452,248.364,C C N ( C ( C ( = O ) N c 1 c ( C ) c c c c 1 C ) C ) C C
25,C4627,MUPNXGNOIBYHSG-UHFFFAOYSA-N,CCN(CCOC(=O)C1(CCCC1)c1ccccc1)CC.Cl,-3.654516525,4.1854,325.873,C C N ( C C O C ( = O ) C 1 ( C C C C 1 ) c 1 c c c c c 1 ) C C . Cl
26,C8004,MVPOUIVDKJJYLB-UHFFFAOYSA-N,ClC(C(=O)NC(=O)N)C(C)C,-1.358325026,1.5359,178.61700000000005,Cl C ( C ( = O ) N C ( = O ) N ) C ( C ) C
27,C290,HJUFTIJOISQSKQ-UHFFFAOYSA-N,CCOC(=O)NCCOc1ccc(cc1)Oc1ccccc1,-4.6999998,3.9947,301.337,C C O C ( = O ) N C C O c 1 c c c ( c c 1 ) O c 1 c c c c c 1
28,C5588,MADQXQUXQNQNPF-UHFFFAOYSA-N,O=C(C(c1ccccc1)(c1ccccc1)O)OCC[NH+]1CCCC1.[Cl-],-2.984516512,-0.28240000000000004,361.86199999999997,O = C ( C ( c 1 c c c c c 1 ) ( c 1 c c c c c 1 ) O ) O C C [NH+] 1 C C C C 1 . [Cl-]
29,C5889,VHRHWROFSPKUJO-UHFFFAOYSA-N,OP(=O)(O)O.OP(=O)(O)O.OP(=O)(O)O.CCN(CCCC(NCC1CC2CCN1CC2)C)CC,-2.785971023,0.1138,575.465,O P ( = O ) ( O ) O . O P ( = O ) ( O ) O . O P ( = O ) ( O ) O . C C N ( C C C C ( N C C 1 C C 2 C C N 1 C C 2 ) C ) C C
30,C2721,BTFSCJCNYHKTAH-UHFFFAOYSA-N,COc1cc2c(cc1OC)CC[NH+](C2CCCc1ccc(cc1)Cl)C.[Br-],-5.476930163,2.0652,440.80199999999996,C O c 1 c c 2 c ( c c 1 O C ) C C [NH+] ( C 2 C C C c 1 c c c ( c c 1 ) Cl ) C . [Br-]
31,C2487,UMFDOKHYNFURFT-LEEZJRHMSA-N,COc1ccc2c(c1)Sc1c(/C/2=C\CCN2CCN(CC2)C)cccc1.Cl.Cl,-5.849806997999999,5.7088,439.44199999999995,C O c 1 c c c 2 c ( c 1 ) S c 1 c ( / C /2 = C \ C C N 2 C C N ( C C 2 ) C ) c c c c 1 . Cl . Cl
32,C7222,CSVGVHNFFZWQJU-UHFFFAOYSA-N,C#CCN(C1CCc2c1cccc2)C,-1.943522646,2.2389,185.265,C # C C N ( C 1 C C c 2 c 1 c c c c 2 ) C
33,C4535,KEUMBYCOWGLRBQ-UHFFFAOYSA-N,CC(c1ccc(c(c1)C(C)C)O)C,-3.700862068,3.639,178.271,C C ( c 1 c c c ( c ( c 1 ) C ( C ) C ) O ) C
34,C749,YXZFFTJAHVMMLF-UHFFFAOYSA-N,BrCCC(C)C,-2.8900001,2.4274,151.045,Br C C C ( C ) C
35,C3147,IEPBPSSCIZTJIF-UHFFFAOYSA-N,O=C(OCC(Cl)(Cl)Cl)OCC(Cl)(Cl)Cl,-4.921645025,3.88,324.801,O = C ( O C C ( Cl ) ( Cl ) Cl ) O C C ( Cl ) ( Cl ) Cl
36,C9384,BUCTXJLMXKQBJP-UHFFFAOYSA-L,C[N+](CCCCCCC[N+](C)(C)C)(C)C.[I-].[I-],0.327697074,-3.6427,470.216,C [N+] ( C C C C C C C [N+] ( C ) ( C ) C ) ( C ) C . [I-] . [I-]
37,C2276,GFUKPDBFDRKRRO-YXLFCKQPSA-N,c1cc(/C=C/c2ccccc2)nc(c1)/C=C/c1ccccc1,-6.2762687260000005,5.4224,283.366,c 1 c c ( / C = C / c 2 c c c c c 2 ) n c ( c 1 ) / C = C / c 1 c c c c c 1
38,C3487,NSSKAGXFUVOOHA-UHFFFAOYSA-N,CCOc1c(OC)cccc1C(=O)OCC[NH+]1CCCCC1.[Cl-],-4.547807533,-0.1073,343.846,C C O c 1 c ( O C ) c c c c 1 C ( = O ) O C C [NH+] 1 C C C C C 1 . [Cl-]
39,C360,IYYZUPMFVPLQIF-UHFFFAOYSA-N,c1ccc2c(c1)sc1c2cccc1,-4.380000099999998,4.0545,184.257,c 1 c c c 2 c ( c 1 ) s c 1 c 2 c c c c 1
40,C2975,JCUYNWANICHYHR-UHFFFAOYSA-N,ClCC[NH+](Cc1ccccc1)CC=Cc1ccccc1C.[Cl-],-5.13756077,0.3361,336.2990000000001,Cl C C [NH+] ( C c 1 c c c c c 1 ) C C = C c 1 c c c c c 1 C . [Cl-]
41,C6017,TXCTURVQEPLVTE-UHFFFAOYSA-N,ONC(=O)Cc1ccc(cc1)C(C)(C)C,-2.7037588560000003,2.4229,207.269,O N C ( = O ) C c 1 c c c ( c c 1 ) C ( C ) ( C ) C
42,C6621,FAJSZEYRHIXUPR-UHFFFAOYSA-N,COC(=O)c1c(OC)cc(cc1OC)Cc1cnc(nc1N)N,-2.332913502,2.198,318.328,C O C ( = O ) c 1 c ( O C ) c c ( c c 1 O C ) C c 1 c n c ( n c 1 N ) N
43,C6442,HZTUFMXXIKGMQU-UHFFFAOYSA-N,COc1ccc(cc1)SCC1CN=C(O1)N,-2.451305562,1.6367,238.30599999999998,C O c 1 c c c ( c c 1 ) S C C 1 C N = C ( O 1 ) N
44,C1001,LHJGJYXLEPZJPM-UHFFFAOYSA-N,Clc1cc(Cl)c(cc1O)Cl,-2.21,3.3524,197.446,Cl c 1 c c ( Cl ) c ( c c 1 O ) Cl
45,C8866,NCRPDZJXUVPKNS-UHFFFAOYSA-N,CCOC(=O)N1CCN(CC1)CC.Cl,-0.42553929100000004,1.4582,222.71200000000002,C C O C ( = O ) N 1 C C N ( C C 1 ) C C . Cl
46,C5285,BZGIPVGCJGXQTA-UHFFFAOYSA-N,CCN(CCSC(=O)N(c1ccccc1)c1ccccc1)CC,-3.1738809569999997,5.0197,328.472,C C N ( C C S C ( = O ) N ( c 1 c c c c c 1 ) c 1 c c c c c 1 ) C C
