,Compound ID,InChIKey,SMILES,logS,logP,MW,smi
0,C4659,WIKXJKUZYYOTBP-UHFFFAOYSA-N,CCCCC(COC(=O)N)(COC(=O)NC(C)C)C,-3.633501683,3.5039999999999996,274.357,C C C C C ( C O C ( = O ) N ) ( C O C ( = O ) N C ( C ) C ) C
1,C3638,NXGAOFONOFYCNG-UHFFFAOYSA-N,O=P(c1ccccc1)(c1ccccc1)Cc1ccccc1,-4.397669682,4.2007,292.311,O = P ( c 1 c c c c c 1 ) ( c 1 c c c c c 1 ) C c 1 c c c c c 1
2,C3279,SHAYUWBGXZREDN-UHFFFAOYSA-N,CCC(=O)N1C2CCC1CN(C2)C(c1ccccc1)c1ccccc1,-4.760920099999999,3.737,334.455,C C C ( = O ) N 1 C 2 C C C 1 C N ( C 2 ) C ( c 1 c c c c c 1 ) c 1 c c c c c 1
3,C16,BQHCQAQLTCQFJZ-UHFFFAOYSA-N,Clc1cc(Cl)c(c(c1)c1cc(Cl)c(cc1Cl)Cl)Cl,-8.6000004,7.274,360.87800000000004,Cl c 1 c c ( Cl ) c ( c ( c 1 ) c 1 c c ( Cl ) c ( c c 1 Cl ) Cl ) Cl
4,C4032,VZSXTYKGYWISGQ-UHFFFAOYSA-N,CN1CCC(CC1)N(c1ccccc1)Cc1ccccc1,-4.086451232,3.7253,280.407,C N 1 C C C ( C C 1 ) N ( c 1 c c c c c 1 ) C c 1 c c c c c 1
5,C81,ARSRBNBHOADGJU-UHFFFAOYSA-N,Cc1c2ccc3c(c2c(c2c1cccc2)C)cccc3,-7.02,5.763,256.341,C c 1 c 2 c c c 3 c ( c 2 c ( c 2 c 1 c c c c 2 ) C ) c c c c 3
6,C2553,VDOLRBJLUIFCGO-UHFFFAOYSA-N,C1CCN(C1)CCN1c2ccccc2Sc2c1cccc2.Cl,-5.732015597999999,5.19,332.89099999999996,C 1 C C N ( C 1 ) C C N 1 c 2 c c c c c 2 S c 2 c 1 c c c c 2 . Cl
7,C1434,QRUDEWIWKLJBPS-UHFFFAOYSA-N,c1ccc2c(c1)[nH]nn2,-0.77999997,0.9579,119.124,c 1 c c c 2 c ( c 1 ) [nH] n n 2
8,C3863,FNQQBFNIYODEMB-UHFFFAOYSA-N,Cc1cc2CCCS(=O)(=O)c2cc1S(=O)(=O)N,-4.19534008,3.2242,275.345,C c 1 c c 2 C C C S ( = O ) ( = O ) c 2 c c 1 S ( = O ) ( = O ) N
9,C6870,ACRBVLNVNAEIRT-UHFFFAOYSA-N,CCCC(COC(=O)N(C)C)(CO)C,-2.165084125,1.4833,203.27900000000002,C C C C ( C O C ( = O ) N ( C ) C ) ( C O ) C
10,C1557,DHXVGJBLRPWPCS-UHFFFAOYSA-N,C1CCCOC1,-0.029999999,1.1869,86.1323,C 1 C C C O C 1
