,Compound ID,InChIKey,SMILES,logS,logP,MW,smi
0,C1891,VRNDXFKUQLCBRG-UHFFFAOYSA-N,CCCCCCCCCCCCCC(=O)OCCCN1CCCCC1C,-7.903584094,6.4331,367.60900000000004,C C C C C C C C C C C C C C ( = O ) O C C C N 1 C C C C C 1 C
1,C6232,PQJLRURZNPVKLU-UHFFFAOYSA-N,ClCCN(C(=O)NCCCCNC(=O)N(N=O)CCCl)N=O,-2.572989301,2.412,357.194,Cl C C N ( C ( = O ) N C C C C N C ( = O ) N ( N = O ) C C Cl ) N = O
2,C8724,SEGLVYOGDQNDAS-UHFFFAOYSA-L,[S-]CC(=O)O[Hg]C.[Na+],-0.622500831,0.1221,328.715,[S-] C C ( = O ) O [Hg] C . [Na+]
3,C9220,QCFURRURLJLBAD-UHFFFAOYSA-L,CC[N+](CCCCCc1ccc(cc1)[N+](CC)(CC)CC)(CC)CC.[I-].[I-],0.173371202,-0.3491,602.418,C C [N+] ( C C C C C c 1 c c c ( c c 1 ) [N+] ( C C ) ( C C ) C C ) ( C C ) C C . [I-] . [I-]
4,C2043,ZPIZOEMTEYVDGD-UHFFFAOYSA-N,CCCCCCCCCCCCCCCCCCNCCSS(=O)(=O)O,-7.03038987,7.8452,409.69,C C C C C C C C C C C C C C C C C C N C C S S ( = O ) ( = O ) O
5,C9933,AXINVSXSGNSVLV-UHFFFAOYSA-N,Nc1c[nH]nc1,1.0804303240000002,0.5731,83.0919,N c 1 c [nH] n c 1
6,C2547,ODLGFPIWRAEFAN-PFEQFJNWSA-N,COc1ccc2c(c1)N(C[C@@H](CN(C)C)C)c1c(S2)cccc1.Cl,-5.7393903139999995,5.3626000000000005,364.93300000000005,C O c 1 c c c 2 c ( c 1 ) N ( C [C@@H] ( C N ( C ) C ) C ) c 1 c ( S 2 ) c c c c 1 . Cl
7,C146,MBAIEZXRGAOPKH-UHFFFAOYSA-N,C1Cc2ccc3c4c2c(C1)ccc4CCC3,-5.96,3.8172,208.298,C 1 C c 2 c c c 3 c 4 c 2 c ( C 1 ) c c c 4 C C C 3
8,C1342,WMSQREUDUHHDDC-UHFFFAOYSA-N,C=CCC1(C)C(=O)NC(=O)NC1=O,-1.16,0.5924,182.17700000000002,C = C C C 1 ( C ) C ( = O ) N C ( = O ) N C 1 = O
9,C7696,KPRMTLXLUPSXMR-UHFFFAOYSA-N,Clc1cccc(c1)P(=O)(O)O,-1.599664328,1.143,192.537,Cl c 1 c c c c ( c 1 ) P ( = O ) ( O ) O
10,C3204,GMTRMRXFOWCLAM-GEEYTBSJSA-N,CC[NH+](CCOC(=O)/C=C/C(c1ccccc1)c1ccccc1)CC.[Cl-],-4.868629328,-0.1534,373.916,C C [NH+] ( C C O C ( = O ) / C = C / C ( c 1 c c c c c 1 ) c 1 c c c c c 1 ) C C . [Cl-]
11,C7907,PVXJBKOQPCPILX-UHFFFAOYSA-N,OCC(COc1cccc(c1)OC)O,-1.450187765,0.4272,198.21599999999998,O C C ( C O c 1 c c c c ( c 1 ) O C ) O
12,C9065,XLPADAMZRYURRP-UHFFFAOYSA-N,NCCCNC(CS)(C)C.Cl.Cl,-0.0881564,3.3284,235.218,N C C C N C ( C S ) ( C ) C . Cl . Cl
13,C9740,FQTFHMSZCSUVEU-QRPNPIFTSA-N,NC[C@@H](c1ccc(c(c1)O)O)O.Cl,0.686896629,1.5922,205.639,N C [C@@H] ( c 1 c c c ( c ( c 1 ) O ) O ) O . Cl
14,C84,QCKHVNQHBOGZER-UHFFFAOYSA-N,Brc1cc(Br)c(cc1Br)Br,-6.98,4.7366,393.69599999999997,Br c 1 c c ( Br ) c ( c c 1 Br ) Br
15,C1045,RECUKUPTGUEGMW-UHFFFAOYSA-N,CC(c1ccc(c(c1)O)C)C,-2.0799999,2.824,150.218,C C ( c 1 c c c ( c ( c 1 ) O ) C ) C
16,C9432,PAJPWUMXBYXFCZ-UHFFFAOYSA-N,OC(=O)C1(N)CC1,0.364071873,0.2626,101.104,O C ( = O ) C 1 ( N ) C C 1
17,C7553,IPWKIXLWTCNBKN-UHFFFAOYSA-N,ClCC(Cn1c(C)ncc1[N+](=O)[O-])O,-1.705294189,1.2226,219.62599999999998,Cl C C ( C n 1 c ( C ) n c c 1 [N+] ( = O ) [O-] ) O
18,C2480,WFJKULNGRMDNJG-FJZULJNHSA-N,CC[NH+](CCO/[NH+]=C(/c1nccc2c1cc(OC)c(c2)OC)\c1ccc(c(c1)OC)OC)CC.[Cl-].[Cl-],-5.855986251,-4.9485,540.479,C C [NH+] ( C C O / [NH+] = C ( / c 1 n c c c 2 c 1 c c ( O C ) c ( c 2 ) O C ) \ c 1 c c c ( c ( c 1 ) O C ) O C ) C C . [Cl-] . [Cl-]
19,C1466,FGLBSLMDCBOPQK-UHFFFAOYSA-N,CC([N+](=O)[O-])C,-0.62,1.1947,89.0932,C C ( [N+] ( = O ) [O-] ) C
